match_id,blue_win,blue_top_champion_name,blue_jungle_champion_name,blue_mid_champion_name,blue_adc_champion_name,blue_support_champion_name,red_top_champion_name,red_jungle_champion_name,red_mid_champion_name,red_adc_champion_name,red_support_champion_name,blue_avg_rank,red_avg_rank,blue_avg_recent_wr,red_avg_recent_wr,blue_avg_mastery,red_avg_mastery,top_matchup_wr,jungle_matchup_wr,mid_matchup_wr,adc_matchup_wr,support_matchup_wr,avg_matchup_wr,rank_diff,recent_wr_diff,mastery_diff
EUN1_3929016481,1,Gwen,Viego,Akali,MissFortune,Swain,Yorick,Briar,Sion,Kindred,Lux,0.0,0.0,0.54,0.44,31660.2,124671.2,0.5,0.75,0.5,1.0,0.5,0.65,0.0,0.10000000000000003,-93011.0
EUN1_3865213621,0,Zaahen,Neeko,Kassadin,Tryndamere,Lux,Vladimir,Jax,Malzahar,Caitlyn,Seraphine,0.0,0.0,0.48,0.46,102371.2,87069.2,0.0,0.0,0.0,0.0,0.5714285714285714,0.11428571428571428,0.0,0.019999999999999962,15302.0
EUN1_3865188970,0,Darius,Twitch,Lux,Cassiopeia,Teemo,Heimerdinger,Shaco,Syndra,Jinx,Velkoz,0.0,0.0,0.48,0.42,374143.4,178961.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,195182.00000000003
EUN1_3932065744,0,DrMundo,Shyvana,Qiyana,Ezreal,Nautilus,TahmKench,Zed,Akali,Jhin,Nami,0.0,0.0,0.52,0.5,16442.2,156920.2,0.0,0.0,0.0,0.25,0.0,0.05,0.0,0.020000000000000018,-140478.0
EUN1_3931476531,1,Tryndamere,Jax,Fizz,Kaisa,Lulu,Ornn,Volibear,Malzahar,Jinx,Sona,0.0,0.0,0.52,0.54,26217.2,146811.0,0.5,0.8,0.5,0.3333333333333333,1.0,0.6266666666666667,0.0,-0.020000000000000018,-120593.8
EUN1_3931579482,0,Nasus,Graves,Hwei,Jinx,TahmKench,Yorick,Viego,Yone,Jhin,Anivia,0.0,0.0,0.46,0.4,71617.0,33652.0,0.0,0.25,0.0,0.4444444444444444,0.0,0.1388888888888889,0.0,0.06,37965.0
EUN1_3917831172,1,Sett,MasterYi,Naafiri,Draven,Taliyah,Mordekaiser,Warwick,Twitch,Ashe,TahmKench,0.0,0.0,0.38,0.395,37214.6,37613.6,1.0,0.5,1.0,1.0,1.0,0.9,0.0,-0.015000000000000013,-399.0
EUN1_3930270300,0,Heimerdinger,Kayn,Hwei,Vayne,Blitzcrank,Nasus,Shyvana,Viktor,Jinx,Mel,0.0,0.0,0.42,0.6,71627.4,30325.4,0.0,0.4166666666666667,0.0,0.5,0.3333333333333333,0.25,0.0,-0.18,41301.99999999999
EUN1_3911226823,0,Quinn,Khazix,Yasuo,Ziggs,Brand,Darius,Volibear,Seraphine,MasterYi,Lux,0.0,0.0,0.4,0.38,100950.0,157017.6,0.3333333333333333,0.5,0.0,0.0,0.3333333333333333,0.2333333333333333,0.0,0.020000000000000018,-56067.600000000006
EUN1_3929458692,1,Teemo,Naafiri,Ahri,Twitch,Mel,Malphite,Nocturne,Brand,KogMaw,Seraphine,0.0,0.0,0.38,0.44,34726.2,126236.8,1.0,0.5,1.0,1.0,0.625,0.825,0.0,-0.06,-91510.6
