blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5,blue_avg_rank,red_avg_rank,blue_avg_mastery,red_avg_mastery,blue_avg_recent_wr,red_avg_recent_wr,blue_win
Volibear,Rengar,Lissandra,Xayah,Morgana,Nasus,Kayn,Yone,Vayne,Kayle,0.0,0.0,52775.8,631657.2,0.46,0.68,1
Yasuo,Rengar,Lissandra,Samira,Pyke,Jax,Diana,Katarina,Caitlyn,Brand,0.0,0.0,97217.6,80448.6,0.32,0.52,0
Fiora,Nocturne,Swain,Vayne,Renata,Yunara,Sion,Ahri,Samira,Garen,0.0,0.0,201146.8,29800.4,0.44,0.28,1
Darius,MasterYi,Aurora,Senna,Brand,Illaoi,Kayn,Veigar,Samira,Swain,0.0,0.0,219213.2,333151.8,0.58,0.56,0
Briar,Shyvana,Vex,Sivir,Morgana,Yorick,FiddleSticks,Fizz,Tristana,Velkoz,0.0,0.0,20693.0,24287.4,0.42,0.5,0
Sett,Nautilus,Talon,Mel,Poppy,Pantheon,MasterYi,Lux,Caitlyn,Blitzcrank,0.0,0.0,211323.8,214490.0,0.44,0.34,0
Cassiopeia,Volibear,Ahri,MissFortune,Swain,Jax,Shen,Yone,Samira,Mel,0.0,0.0,172070.0,57920.2,0.36,0.42,1
Illaoi,Nasus,Lissandra,Jhin,Nautilus,Naafiri,Rammus,Mel,Lucian,Milio,0.0,0.0,97388.0,19312.2,0.42,0.5,1
Darius,Nunu,Vladimir,Xayah,Brand,Kled,Shaco,Yasuo,Swain,Pantheon,0.0,0.0,67365.0,85664.4,0.52,0.5,1
Mordekaiser,Warwick,Syndra,Tristana,Lulu,Yasuo,Malphite,Annie,Varus,Lux,0.0,0.0,244965.8,114102.8,0.36,0.42,1
Yasuo,Amumu,Veigar,Samira,Rell,Darius,MasterYi,Vex,Jhin,Xerath,0.0,0.0,43087.6,294955.6,0.5,0.52,1
Sett,Hecarim,Ahri,Swain,Veigar,Kayle,Diana,Katarina,Jhin,Nami,0.0,0.0,86480.2,32185.0,0.42,0.44,1
Nasus,Trundle,Veigar,Jhin,Thresh,Shen,Malphite,Velkoz,MissFortune,Sona,0.0,0.0,183072.6,77971.0,0.54,0.48,0
Warwick,MasterYi,Ryze,Caitlyn,Nunu,Sett,Rammus,Brand,Twitch,Morgana,0.0,0.0,190666.6,39961.6,0.46,0.48,0
TahmKench,Malphite,Kassadin,Ziggs,Rell,Yone,XinZhao,Morgana,Varus,Lux,0.0,0.0,37137.8,563353.8,0.58,0.44,0
Gwen,Hecarim,Aurora,Kaisa,Bard,Yorick,Viego,Malzahar,Caitlyn,Vi,0.0,0.0,31567.4,176645.4,0.46,0.58,0
Nasus,Rammus,Vex,Twitch,Seraphine,Darius,MasterYi,Ahri,Zyra,Lux,0.0,0.0,45909.6,242211.0,0.72,0.44,0
Senna,Shaco,Yasuo,Ashe,Sona,Jax,XinZhao,Vex,Ezreal,Lulu,0.0,0.0,33680.2,105217.0,0.34,0.44,0
Darius,Shyvana,Katarina,Caitlyn,Sona,Yasuo,Volibear,Akali,MissFortune,Thresh,0.0,0.0,32523.2,373476.0,0.46,0.52,0
Kled,Briar,Akali,Smolder,Pyke,Nasus,Warwick,Aurora,Caitlyn,Zyra,0.0,0.0,52794.4,39088.6,0.54,0.64,0
Jax,FiddleSticks,Ahri,Sivir,Thresh,Volibear,Lillia,Yasuo,Caitlyn,Velkoz,0.0,0.0,193419.2,294748.0,0.58,0.42,1
Malphite,Viego,Lux,Varus,Zyra,Quinn,Lillia,Yasuo,MissFortune,Morgana,0.0,0.0,68972.0,386229.8,0.42,0.34,0
Sett,MasterYi,Vex,Corki,Lux,TahmKench,Warwick,Lissandra,Tristana,Zyra,0.0,0.0,98838.4,168490.4,0.52,0.5,1
Teemo,Vi,Ahri,Vayne,Mel,Urgot,Jax,Akali,Jinx,Seraphine,0.0,0.0,132220.2,125721.0,0.36,0.48,0
Sion,Tryndamere,Anivia,Ashe,Brand,Sett,Shyvana,Xerath,MissFortune,Morgana,0.0,0.0,85579.4,196197.2,0.36,0.48,1
Teemo,Viego,Zoe,Swain,Blitzcrank,Zaahen,Udyr,Mel,Samira,Morgana,0.0,0.0,70948.4,121952.8,0.52,0.54,1
Yorick,Singed,Zed,Twitch,Teemo,Kayle,Shyvana,Yasuo,Caitlyn,Lux,0.0,0.0,140949.4,92587.4,0.48,0.42,0
Mordekaiser,Warwick,Veigar,Ashe,Lux,Garen,Sejuani,Zed,Ezreal,Neeko,0.0,0.0,208777.4,75739.0,0.4,0.4,1
Zaahen,Poppy,Galio,MissFortune,DrMundo,Sion,Ivern,Ekko,Jinx,TahmKench,0.0,0.0,27174.8,31787.8,0.56,0.44,0
Illaoi,Kayn,Vex,Smolder,Braum,Kayle,Shyvana,Akali,Ezreal,Sylas,0.0,0.0,33694.4,39345.8,0.48,0.4489,1
Kayle,Nocturne,Yone,Ashe,Lux,Jax,Warwick,Akali,Caitlyn,Leona,0.0,0.0,130019.6,259654.6,0.46,0.44,1
DrMundo,Amumu,Veigar,Caitlyn,Velkoz,Mordekaiser,Jax,Heimerdinger,Varus,Morgana,0.0,0.0,100868.6,37643.2,0.46,0.46,0
Aatrox,Diana,Zed,Tristana,Thresh,Jax,DrMundo,Kassadin,Caitlyn,Morgana,0.0,0.0,81002.6,33170.6,0.52,0.32,1
Teemo,Warwick,Kaisa,MissFortune,Seraphine,Mordekaiser,DrMundo,Diana,Varus,Morgana,0.0,0.0,384869.2,73247.0,0.46,0.42,1
Volibear,Darius,Ahri,MissFortune,Swain,Mordekaiser,Zed,Fizz,Lucian,Lux,0.0,0.0,207544.0,43728.2,0.42,0.36,0
Vayne,Shaco,Galio,Ezreal,Lux,Tryndamere,Vi,Tristana,MissFortune,Veigar,0.0,0.0,328531.8,108173.8,0.42,0.6,0
Cassiopeia,Jax,Yasuo,Vayne,Nunu,Heimerdinger,Briar,Naafiri,Caitlyn,Mel,0.0,0.0,145901.8,254647.6,0.44,0.46,0
Teemo,Vi,Yone,Ashe,Mel,Pantheon,Kayn,Akshan,MissFortune,Morgana,0.0,0.0,20305.2,98648.0,0.48,0.5,0
Singed,Diana,Mel,Samira,Nautilus,Mordekaiser,Nocturne,Sylas,Tristana,Chogath,0.0,0.0,65248.4,71748.6,0.66,0.48,1
Urgot,Shyvana,Yasuo,MissFortune,Maokai,Sion,Jax,Mel,Caitlyn,Zyra,0.0,0.0,211122.6,122818.4,0.6,0.44,1
Teemo,Shyvana,Mel,Twitch,Seraphine,Shen,Jax,Akshan,Yasuo,Lux,0.0,0.0,82844.2,92174.2,0.5,0.5,0
Ornn,MasterYi,Ryze,Lux,Morgana,XinZhao,Kindred,Akali,KogMaw,Nami,0.0,0.0,30489.0,55438.8,0.54,0.5,0
Zaahen,Briar,Diana,Veigar,Lux,Jax,Graves,Fizz,MissFortune,Morgana,0.0,0.0,134661.0,96179.4,0.42,0.6,1
Ornn,Sylas,Lux,Caitlyn,Neeko,Garen,Nocturne,Nasus,Jhin,Swain,0.0,0.0,32593.2,80961.6,0.5,0.48,1
Yone,Jax,Azir,MissFortune,Lux,Sett,Rammus,Lissandra,Jinx,Mel,0.0,0.0,67124.6,159773.2,0.58,0.48,0
Garen,Nasus,Yone,Kaisa,Nautilus,Urgot,Nunu,Mel,MissFortune,Leona,0.0,0.0,221977.4,62747.8,0.48,0.48,0
Gangplank,Hecarim,TwistedFate,Aphelios,Nautilus,Olaf,Viego,Ahri,Tristana,Nami,0.0,0.0,86246.6,20462.2,0.38,0.56,0
Trundle,Morgana,Ahri,Samira,Mel,Olaf,Jax,Akshan,Caitlyn,Yuumi,0.0,0.0,138935.2,47864.2,0.42,0.56,0
Jax,Teemo,Veigar,MissFortune,Morgana,Yone,MasterYi,Yasuo,Brand,Mel,0.0,0.0,210021.4,145189.2,0.4,0.5,0
Yasuo,DrMundo,Yone,Samira,Viktor,Sion,Nocturne,Veigar,Tristana,Mel,0.0,0.0,156415.6,39901.6,0.58,0.56,1
Olaf,Warwick,Chogath,Samira,Mel,Gwen,Amumu,Yone,Jinx,Nami,0.0,0.0,103854.4,42247.4,0.34,0.46,0
Yone,Qiyana,Galio,Jhin,Zilean,Kled,Amumu,Yasuo,Twitch,Lulu,0.0,0.0,430952.8,154311.6,0.5,0.44,0
Malphite,FiddleSticks,Akali,Samira,Nautilus,Yorick,Kayn,Ekko,Tryndamere,Skarner,0.0,0.0,60566.0,290725.0,0.54,0.56,0
DrMundo,MasterYi,Vex,Ashe,Swain,Vayne,Quinn,Malzahar,Ezreal,Xerath,0.0,0.0,60605.6,111941.2,0.42,0.5,0
Nasus,Evelynn,Yasuo,Smolder,Ivern,DrMundo,Sylas,Kaisa,Caitlyn,Mel,0.0,0.0,75502.8,62174.0,0.52,0.34,0
Olaf,Kayn,Yasuo,Smolder,Sona,Darius,Amumu,Akali,MissFortune,Lux,0.0,0.0,83998.0,288418.6,0.46,0.62,0
